Дата,Сайт,MC,Акб,Падение,Поднятие,Дежурный
 09.06.2016 ,DON ELE ELE,DON,23:44,23:44,None,urikov
 08.06.2016 ,DON DON BUS,DON,None,None,None,kpapushoy
 07.06.2016 ,DON DOK ATP,DON,None,None,None,obilous
 02.06.2016 ,DON LUG SOP,LUG,13:24,13:24,None,mpetrenko
 18.05.2016 ,DON LUG KET,LUG,None,None,None,opoznikharenko
 15.05.2016 ,KIE KIP 2RG,?,None,None,None,snikiforov
 10.05.2016 ,DON LUG BAK,LUG,None,None,None,ntriska
 07.05.2016 ,DON ZUG LIC,DON,None,None,None,mpetrenko
 03.05.2016 ,DON UNK BRT,DON,13:37,13:37,None,ntriska
 30.04.2016 ,DNE KIR TRS,KIR,None,None,None,kakovalchuk
 26.04.2016 ,DON KRD LOB,LUG,None,None,None,ntriska
 22.04.2016 ,DON LUG DLP,LUG,None,None,None,KGrygor
 17.04.2016 ,DON LUG GRA,LUG,None,None,None,mpetrenko
 15.04.2016 ,DON LUG PMK,LUG,None,None,None,mpetrenko
 13.04.2016 ,DON SAN TOW,DON,None,None,None,urikov
 10.04.2016 ,DON LOT CNT,LUG,None,None,None,ntriska
 07.04.2016 ,DON MAK FAB,DON,None,None,None,mpetrenko
 06.04.2016 ,DON SHA PES,DON,None,None,None,ntriska
 06.04.2016 ,DON MAK GIS,DON,None,None,None,dtrokhimenko
 05.04.2016 ,DON MAK MTR,DON,21:19,21:19,None,opoznikharenko
 05.04.2016 ,KIE KIP PRP,KIE,None,None,None,kakovalchuk
 04.04.2016 ,DON HAN OKN,DON,None,None,None,mpetrenko
 31.03.2016 ,KIE KIP UNL,KIE,None,None,None,ishestopal
 30.03.2016 ,DON LUG GSV,LUG,05:40,05:40,None,ntriska
 26.03.2016 ,DON MAK ZAP,DON,None,None,None,mpetrenko
 21.03.2016 ,DON LUG ZAR,LUG,20:41,20:41,None,mpetrenko
 17.03.2016 ,DON MAK MT1,DON,None,None,None,mpetrenko
 12.03.2016 ,DON ELE ELE,DON,None,None,None,urikov
 10.03.2016 ,DON NAZ CNT,DON,10:50,10:50,None,oscherbina
 09.03.2016 ,DON KIR AVT,DON,None,None,None,urikov
 07.03.2016 ,DON BEZ AGR,DON,17:35,17:35,None,kpapushoy
 03.03.2016 ,DON DON PLS,DON,None,None,None,opoznikharenko
 02.03.2016 ,DON AST TVT,LUG,None,None,None,mpetrenko
 26.02.2016 ,DON JAS PIP,DON,None,None,None,ntriska
 21.02.2016 ,KIE KIP DFI,?,None,None,None,KGrygor
 18.02.2016 ,ODE PIK KRL,ODE,None,None,None,snikiforov
 15.02.2016 ,DON ENA SHA,DON,09:10,09:10,None,mpetrenko
 12.02.2016 ,DON LUG TPL,LUG,None,None,None,ntriska
 08.02.2016 ,DON LUG KRA,LUG,None,None,None,opoznikharenko
 06.02.2016 ,DON DON BLZ,DON,None,None,None,urikov
 04.02.2016 ,KIE CHK BDI,CHK,None,None,None,snikiforov
 01.02.2016 ,KIE KIE KDR,KIE,18:12,18:12,None,snikiforov
 30.01.2016 ,DON DOK ATP,DON,None,None,None,mpetrenko
 26.01.2016 ,DON KRV CNT,LUG,None,None,None,mpetrenko
 25.01.2016 ,DON MAK MGS,DON,None,None,None,mpetrenko
 21.01.2016 ,DON GOR K30,DON,None,None,None,urikov
 15.01.2016 ,KIE KIP DFB,KIE,None,None,None,jtrohimenko
 11.01.2016 ,DON SHU GOL,KRM,None,None,None,mpetrenko
 07.01.2016 ,DON LUG PIP,LUG,None,None,None,opoznikharenko
 01.01.2016 ,DON DON COF,DON,None,None,None,opoznikharenko
 24.12.2015 ,DON SVE KOT,LUG,None,None,None,ntriska
 22.12.2015 ,DON ANT DKV,LUG,None,None,None,opoznikharenko
 21.12.2015 ,DNE BER AMS,ZAP,None,None,None,rdegtyarenko
 12.12.2015 ,DON KRD SMS,LUG,None,None,None,omozheyko
 26.11.2015 ,DON DON 578,DON,None,None,None,opoznikharenko
 12.11.2015 ,DON DON KRK,DON,None,None,None,opoznikharenko
 04.11.2015 ,DON LUG TVT,LUG,08:33,08:33,None,opoznikharenko
 19.10.2015 ,DON KHA ENE,DON,None,None,None,opoznikharenko
 12.10.2015 ,DON STR BOL,DON,None,None,None,snikiforov
 10.10.2015 ,DON STA UGL,LUG,None,None,None,opoznikharenko
 30.09.2015 ,DON DON PBD,DON,None,None,None,urikov
 29.09.2015 ,DON LUT VRU,LUG,None,None,None,obilous
 18.09.2015 ,DON DON MEL,DON,None,None,None,vborushok
 16.09.2015 ,DON MOS KOP,DON,None,None,None,vborushok
 11.09.2015 ,DON LUG SPR,LUG,None,None,None,vborushok
 09.09.2015 ,DON NVD TOW,LUG,16:31,16:31,None,opoznikharenko
 06.09.2015 ,DON STA PIP,LUG,None,None,None,vborushok
 01.09.2015 ,DON KMH TOW,KRM,None,None,None,ntriska
 30.08.2015 ,DON LUG CIT,LUG,17:03,17:03,None,mpetrenko
 25.08.2015 ,DON MAK VOY,DON,None,None,None,urikov
 20.08.2015 ,DON DOL TOW,LUG,None,None,None,opoznikharenko
 17.08.2015 ,DON TOR ENE,DON,16:09,16:09,None,urikov
 14.08.2015 ,DON KIR CUL,DON,None,None,None,vborushok
 09.08.2015 ,DON LUT VRU,LUG,None,None,None,urikov
 30.07.2015 ,DON LUG DIS,LUG,None,None,None,vvelko
 28.07.2015 ,DON ROV RES,LUG,09:29,09:29,None,ezhabenko
 24.07.2015 ,DON LUG GAE,LUG,None,None,None,vvelko
 23.07.2015 ,DON BRN UIN,LUG,09:53,09:53,None,mpetrenko
 21.07.2015 ,DON LUG VNU,LUG,01:55,01:55,None,ezhabenko
 16.07.2015 ,DON DON GAR,DON,None,None,None,vborushok
 13.07.2015 ,DON GOR OKT,DON,02:53,02:53,None,vborushok
 09.07.2015 ,DON KRP KST,LUG,08:03,08:03,None,vborushok
 26.06.2015 ,DON DON MUS,DON,None,None,None,KGrygor
 19.06.2015 ,DON SUH CUL,LUG,None,None,None,ezhabenko
 12.06.2015 ,DON DON VLD,DON,None,None,None,vborushok
 09.06.2015 ,DON ROV VLK,LUG,None,None,None,vborushok
 05.06.2015 ,DON STA HRU,LUG,None,None,None,vborushok
 28.05.2015 ,DON TOR AVT,DON,None,None,None,vborushok
 24.05.2015 ,DON LUG TRD,LUG,14:38,14:38,None,vborushok
 16.05.2015 ,DON DON REA,DON,None,None,None,vborushok
 05.05.2015 ,DON MAK SEY,DON,09:22,09:22,None,vborushok
 25.04.2015 ,DON SAH AGR,DON,06:45,06:45,None,vborushok
 14.04.2015 ,DON LUB TOK,MAR,None,None,None,ezhabenko
 11.04.2015 ,DON GOR AM2,DON,None,None,None,vborushok
 25.03.2015 ,DON GOR GMZ,DON,08:11,08:11,None,KGrygor
 24.03.2015 ,DON LUG 50L,LUG,None,None,None,vborushok
 24.03.2015 ,DON LUG WAU,LUG,None,None,None,vborushok
 23.03.2015 ,DON DON PUB,DON,18:26,18:26,None,mpetrenko
 23.03.2015 ,DON LUG GEO,LUG,None,None,None,vborushok
 19.03.2015 ,DON DON TTU,DON,None,None,None,vborushok
 17.03.2015 ,DON LUG VNU,LUG,None,None,None,snikiforov
 15.03.2015 ,DON GOR HVN,DON,None,None,None,urikov
 02.03.2015 ,DON BRN BRN,LUG,None,None,None,vborushok
 17.02.2015 ,DON MRN MLD,MAR,19:22,19:22,None,vborushok
 14.02.2015 ,DON DON K25,DON,None,None,None,vborushok
 23.01.2015 ,DON DEB MAG,DON,06:04,06:04,None,vborushok
 23.01.2015 ,DON DEB OKT,DON,02:11,02:11,None,vborushok
 18.01.2015 ,DON GOR GRK,DON,08:00,08:00,None,vborushok
 11.01.2015 ,DON GOR ART,DON,None,None,None,vborushok
 10.01.2015 ,DON JAS KRN,DON,16:58,16:58,None,vborushok
 05.12.2014 ,DON DON LIV,DON,14:24,14:24,None,vborushok
 25.11.2014 ,DON DON BLL,DON,08:21,08:21,None,vborushok
 11.11.2014 ,DON STL NIK,LUG,14:36,14:36,None,vborushok
 31.10.2014 ,DON LUG TIP,LUG,None,None,None,alkuzmenko
 21.10.2014 ,DON DON KSR,DON,04:25,04:25,None,vborushok
 08.10.2014 ,DON DEB TOW,DON,14:44,14:44,None,vborushok
 25.09.2014 ,DON SVE NVB,LUG,None,None,None,opoznikharenko
 22.09.2014 ,DON KUR TOW,DON,None,None,None,opoznikharenko
 27.08.2014 ,DON DON GDC,DON,None,None,None,mpetrenko
 17.08.2014 ,DON DON UAR,DON,None,None,None,KGrygor
 12.08.2014 ,DON JAS YAK,DON,15:07,15:07,None,vborushok
 04.08.2014 ,DON DON KAR,DON,None,None,None,vborushok
 28.07.2014 ,DON LUG GRA,LUG,10:23,10:23,None,schirkin
 22.07.2014 ,DON LUG MUZ,LUG,None,None,None,urikov
 20.07.2014 ,DON DON EXP,DON,None,None,None,mpetrenko
 27.05.2014 ,DON DON ERS,DON,None,None,None,vborushok
 28.03.2014 ,DON DOK IND,DON,07:44,07:44,None,alkuzmenko
